"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MAX"
"21","42","42","42","0.0789489597082138","0.0789489597082138","0.0789489597082138"
"22","44","44","44","0.07833918184041977","0.07833918184041977","0.07833918184041977"
"23","46","46","46","0.07776805758476257","0.07776805758476257","0.07776805758476257"
"24","48","48","48","0.07714083045721054","0.07714083045721054","0.07714083045721054"
"25","50","50","50","0.07657011598348618","0.07657011598348618","0.07657011598348618"
"26","52","52","52","0.07609084248542786","0.07609084248542786","0.07609084248542786"
"27","54","54","54","0.07549938559532166","0.07549938559532166","0.07549938559532166"
"28","56","56","56","0.0748489573597908","0.0748489573597908","0.0748489573597908"
"29","58","58","58","0.07435765862464905","0.07435765862464905","0.07435765862464905"
"30","60","60","60","0.07399798929691315","0.07399798929691315","0.07399798929691315"
"31","62","62","62","0.07367081195116043","0.07367081195116043","0.07367081195116043"
"32","64","64","64","0.07340507954359055","0.07340507954359055","0.07340507954359055"
"33","66","66","66","0.07335510104894638","0.07335510104894638","0.07335510104894638"
"34","68","68","68","0.07312463223934174","0.07312463223934174","0.07312463223934174"
"35","70","70","70","0.07275407761335373","0.07275407761335373","0.07275407761335373"
"36","72","72","72","0.07234413921833038","0.07234413921833038","0.07234413921833038"
"37","74","74","74","0.07184817641973495","0.07184817641973495","0.07184817641973495"
"38","76","76","76","0.07147819548845291","0.07147819548845291","0.07147819548845291"
"39","78","78","78","0.07114603370428085","0.07114603370428085","0.07114603370428085"
"40","80","80","80","0.07093104720115662","0.07093104720115662","0.07093104720115662"
"41","82","82","82","0.07084553688764572","0.07084553688764572","0.07084553688764572"
"42","84","84","84","0.07081033289432526","0.07081033289432526","0.07081033289432526"
"43","86","86","86","0.07057762891054153","0.07057762891054153","0.07057762891054153"
"44","88","88","88","0.07032167166471481","0.07032167166471481","0.07032167166471481"
"45","90","90","90","0.07007069885730743","0.07007069885730743","0.07007069885730743"
"46","92","92","92","0.06970371305942535","0.06970371305942535","0.06970371305942535"
"47","94","94","94","0.06929895281791687","0.06929895281791687","0.06929895281791687"
"48","96","96","96","0.06884057074785233","0.06884057074785233","0.06884057074785233"
"49","98","98","98","0.06835722178220749","0.06835722178220749","0.06835722178220749"
"50","100","100","100","0.06796183437108994","0.06796183437108994","0.06796183437108994"
"51","102","102","102","0.06758608669042587","0.06758608669042587","0.06758608669042587"
"52","104","104","104","0.0671692043542862","0.0671692043542862","0.0671692043542862"
"53","106","106","106","0.06687307357788086","0.06687307357788086","0.06687307357788086"
"54","108","108","108","0.06659981608390808","0.06659981608390808","0.06659981608390808"
"55","110","110","110","0.06641170382499695","0.06641170382499695","0.06641170382499695"
"56","112","112","112","0.06643372029066086","0.06643372029066086","0.06643372029066086"
"57","114","114","114","0.06652195006608963","0.06652195006608963","0.06652195006608963"
"58","116","116","116","0.06648927181959152","0.06648927181959152","0.06648927181959152"
"59","118","118","118","0.06632542610168457","0.06632542610168457","0.06632542610168457"
"60","120","120","120","0.06612710654735565","0.06612710654735565","0.06612710654735565"
"61","122","122","122","0.06598422676324844","0.06598422676324844","0.06598422676324844"
"62","124","124","124","0.06574618816375732","0.06574618816375732","0.06574618816375732"
"63","126","126","126","0.06546586751937866","0.06546586751937866","0.06546586751937866"
"64","128","128","128","0.0651058778166771","0.0651058778166771","0.0651058778166771"
"65","130","130","130","0.06480001658201218","0.06480001658201218","0.06480001658201218"
"66","132","132","132","0.06451205909252167","0.06451205909252167","0.06451205909252167"
"67","134","134","134","0.06412765383720398","0.06412765383720398","0.06412765383720398"
"68","136","136","136","0.06389806419610977","0.06389806419610977","0.06389806419610977"
"69","138","138","138","0.06382901966571808","0.06382901966571808","0.06382901966571808"
"70","140","140","140","0.06384967267513275","0.06384967267513275","0.06384967267513275"
"71","142","142","142","0.06391920149326324","0.06391920149326324","0.06391920149326324"
"72","144","144","144","0.06412625312805176","0.06412625312805176","0.06412625312805176"
"73","146","146","146","0.0639738067984581","0.0639738067984581","0.0639738067984581"
"74","148","148","148","0.06386162340641022","0.06386162340641022","0.06386162340641022"
"75","150","150","150","0.0635838434100151","0.0635838434100151","0.0635838434100151"
"76","152","152","152","0.06324634701013565","0.06324634701013565","0.06324634701013565"
"77","154","154","154","0.06315775960683823","0.06315775960683823","0.06315775960683823"
"78","156","156","156","0.06308084726333618","0.06308084726333618","0.06308084726333618"
"79","158","158","158","0.06283429265022278","0.06283429265022278","0.06283429265022278"
